frame_index,frame_label,previous_frame_label,organic-surface,water-surface,organic-water
1,set_000__step_00000100,set_000__step_00000050,0,0,0
2,set_000__step_00000150,set_000__step_00000100,0,0,0
3,set_000__step_00000200,set_000__step_00000150,1,1,0
4,set_000__step_00000250,set_000__step_00000200,0,0,0
5,set_000__step_00000300,set_000__step_00000250,0,1,0
6,set_000__step_00000350,set_000__step_00000300,1,0,0
7,set_000__step_00000400,set_000__step_00000350,0,0,0
8,set_000__step_00000450,set_000__step_00000400,0,0,0
9,set_000__step_00000500,set_000__step_00000450,0,0,0
10,set_000__step_00000550,set_000__step_00000500,0,0,0
11,set_000__step_00000600,set_000__step_00000550,0,2,0
12,set_000__step_00000650,set_000__step_00000600,0,0,0
13,set_000__step_00000700,set_000__step_00000650,0,2,0
14,set_000__step_00000750,set_000__step_00000700,0,1,0
15,set_000__step_00000800,set_000__step_00000750,0,2,0
16,set_000__step_00000850,set_000__step_00000800,0,0,0
17,set_000__step_00000900,set_000__step_00000850,0,0,0
18,set_000__step_00000950,set_000__step_00000900,0,2,0
19,set_000__step_00001000,set_000__step_00000950,0,0,0
20,set_000__step_00001050,set_000__step_00001000,0,2,0
21,set_000__step_00001100,set_000__step_00001050,0,1,0
22,set_000__step_00001150,set_000__step_00001100,0,0,0
23,set_000__step_00001200,set_000__step_00001150,0,3,0
24,set_000__step_00001250,set_000__step_00001200,0,2,0
25,set_000__step_00001300,set_000__step_00001250,0,2,0
26,set_000__step_00001350,set_000__step_00001300,0,0,0
27,set_000__step_00001400,set_000__step_00001350,0,1,0
28,set_000__step_00001450,set_000__step_00001400,0,2,0
29,set_000__step_00001500,set_000__step_00001450,0,2,0
30,set_000__step_00001550,set_000__step_00001500,1,1,0
31,set_000__step_00001600,set_000__step_00001550,1,2,0
32,set_000__step_00001650,set_000__step_00001600,0,3,0
33,set_000__step_00001700,set_000__step_00001650,0,0,0
34,set_000__step_00001750,set_000__step_00001700,0,0,0
35,set_000__step_00001800,set_000__step_00001750,0,2,0
36,set_000__step_00001850,set_000__step_00001800,1,1,0
37,set_000__step_00001900,set_000__step_00001850,0,3,0
38,set_000__step_00001950,set_000__step_00001900,1,1,0
39,set_000__step_00002000,set_000__step_00001950,0,1,0
40,set_000__step_00002050,set_000__step_00002000,0,1,0
41,set_000__step_00002100,set_000__step_00002050,0,3,0
42,set_000__step_00002150,set_000__step_00002100,2,0,0
43,set_000__step_00002200,set_000__step_00002150,0,1,0
44,set_000__step_00002250,set_000__step_00002200,0,1,0
45,set_000__step_00002300,set_000__step_00002250,1,1,0
46,set_000__step_00002350,set_000__step_00002300,0,1,0
47,set_000__step_00002400,set_000__step_00002350,0,3,0
48,set_000__step_00002450,set_000__step_00002400,0,1,0
49,set_000__step_00002500,set_000__step_00002450,1,1,0
50,set_000__step_00002550,set_000__step_00002500,0,3,0
51,set_000__step_00002600,set_000__step_00002550,0,3,0
52,set_000__step_00002650,set_000__step_00002600,0,1,0
53,set_000__step_00002700,set_000__step_00002650,1,2,0
54,set_000__step_00002750,set_000__step_00002700,0,1,0
55,set_000__step_00002800,set_000__step_00002750,0,3,0
56,set_000__step_00002850,set_000__step_00002800,0,1,0
57,set_000__step_00002900,set_000__step_00002850,2,2,0
58,set_000__step_00002950,set_000__step_00002900,0,1,0
59,set_000__step_00003000,set_000__step_00002950,2,1,0
60,set_000__step_00003050,set_000__step_00003000,0,1,0
61,set_000__step_00003100,set_000__step_00003050,1,3,0
62,set_000__step_00003150,set_000__step_00003100,0,0,0
63,set_000__step_00003200,set_000__step_00003150,2,3,0
64,set_000__step_00003250,set_000__step_00003200,1,2,0
65,set_000__step_00003300,set_000__step_00003250,0,1,0
66,set_000__step_00003350,set_000__step_00003300,1,1,0
67,set_000__step_00003400,set_000__step_00003350,1,2,0
68,set_000__step_00003450,set_000__step_00003400,1,2,0
69,set_000__step_00003500,set_000__step_00003450,0,2,0
70,set_000__step_00003550,set_000__step_00003500,1,3,0
71,set_000__step_00003600,set_000__step_00003550,0,0,0
72,set_000__step_00003650,set_000__step_00003600,0,0,0
73,set_000__step_00003700,set_000__step_00003650,0,4,0
74,set_000__step_00003750,set_000__step_00003700,0,1,0
75,set_000__step_00003800,set_000__step_00003750,0,4,0
76,set_000__step_00003850,set_000__step_00003800,0,1,0
77,set_000__step_00003900,set_000__step_00003850,0,0,0
78,set_000__step_00003950,set_000__step_00003900,0,3,0
79,set_000__step_00004000,set_000__step_00003950,0,2,0
80,set_000__step_00004050,set_000__step_00004000,0,3,0
81,set_000__step_00004100,set_000__step_00004050,0,4,0
82,set_000__step_00004150,set_000__step_00004100,0,0,0
83,set_000__step_00004200,set_000__step_00004150,0,3,0
84,set_000__step_00004250,set_000__step_00004200,0,1,0
85,set_000__step_00004300,set_000__step_00004250,0,3,0
86,set_000__step_00004350,set_000__step_00004300,1,1,0
87,set_000__step_00004400,set_000__step_00004350,0,3,0
88,set_000__step_00004450,set_000__step_00004400,1,2,0
89,set_000__step_00004500,set_000__step_00004450,0,0,0
90,set_000__step_00004550,set_000__step_00004500,0,1,0
91,set_000__step_00004600,set_000__step_00004550,0,1,0
92,set_000__step_00004650,set_000__step_00004600,1,2,0
93,set_000__step_00004700,set_000__step_00004650,1,3,0
94,set_000__step_00004750,set_000__step_00004700,0,1,0
95,set_000__step_00004800,set_000__step_00004750,0,3,0
96,set_000__step_00004850,set_000__step_00004800,0,1,0
97,set_000__step_00004900,set_000__step_00004850,0,1,0
98,set_000__step_00004950,set_000__step_00004900,1,1,0
99,set_000__step_00005000,set_000__step_00004950,1,2,0
100,set_000__step_00005050,set_000__step_00005000,0,2,0
101,set_000__step_00005100,set_000__step_00005050,0,2,0
102,set_000__step_00005150,set_000__step_00005100,0,2,0
103,set_000__step_00005200,set_000__step_00005150,0,4,0
104,set_000__step_00005250,set_000__step_00005200,0,1,0
105,set_000__step_00005300,set_000__step_00005250,0,1,0
106,set_000__step_00005350,set_000__step_00005300,0,2,0
107,set_000__step_00005400,set_000__step_00005350,0,0,0
108,set_000__step_00005450,set_000__step_00005400,0,2,0
109,set_000__step_00005500,set_000__step_00005450,0,2,0
110,set_000__step_00005550,set_000__step_00005500,0,3,0
111,set_000__step_00005600,set_000__step_00005550,0,1,0
112,set_000__step_00005650,set_000__step_00005600,0,3,0
113,set_000__step_00005700,set_000__step_00005650,0,3,0
114,set_000__step_00005750,set_000__step_00005700,0,2,0
115,set_000__step_00005800,set_000__step_00005750,0,2,0
116,set_000__step_00005850,set_000__step_00005800,0,1,0
117,set_000__step_00005900,set_000__step_00005850,0,2,0
118,set_000__step_00005950,set_000__step_00005900,0,3,0
119,set_000__step_00006000,set_000__step_00005950,0,1,0
120,set_000__step_00006050,set_000__step_00006000,0,3,0
121,set_000__step_00006100,set_000__step_00006050,1,3,0
122,set_000__step_00006150,set_000__step_00006100,1,2,0
123,set_000__step_00006200,set_000__step_00006150,0,1,0
124,set_000__step_00006250,set_000__step_00006200,0,0,0
125,set_000__step_00006300,set_000__step_00006250,0,4,0
126,set_000__step_00006350,set_000__step_00006300,1,2,0
127,set_000__step_00006400,set_000__step_00006350,1,0,0
128,set_000__step_00006450,set_000__step_00006400,0,2,0
129,set_000__step_00006500,set_000__step_00006450,1,1,0
130,set_000__step_00006550,set_000__step_00006500,1,4,0
131,set_000__step_00006600,set_000__step_00006550,0,2,0
132,set_000__step_00006650,set_000__step_00006600,0,3,0
133,set_000__step_00006700,set_000__step_00006650,0,1,0
134,set_000__step_00006750,set_000__step_00006700,0,2,0
135,set_000__step_00006800,set_000__step_00006750,0,0,0
136,set_000__step_00006850,set_000__step_00006800,0,2,0
137,set_000__step_00006900,set_000__step_00006850,0,2,0
138,set_000__step_00006950,set_000__step_00006900,0,2,0
139,set_000__step_00007000,set_000__step_00006950,0,0,0
140,set_000__step_00007050,set_000__step_00007000,0,0,0
141,set_000__step_00007100,set_000__step_00007050,0,1,0
142,set_000__step_00007150,set_000__step_00007100,0,2,0
143,set_000__step_00007200,set_000__step_00007150,0,0,0
144,set_000__step_00007250,set_000__step_00007200,0,1,0
145,set_000__step_00007300,set_000__step_00007250,0,1,0
146,set_000__step_00007350,set_000__step_00007300,0,1,0
147,set_000__step_00007400,set_000__step_00007350,0,1,0
148,set_000__step_00007450,set_000__step_00007400,0,4,0
149,set_000__step_00007500,set_000__step_00007450,0,5,0
150,set_000__step_00007550,set_000__step_00007500,0,0,0
151,set_000__step_00007600,set_000__step_00007550,0,3,0
152,set_000__step_00007650,set_000__step_00007600,0,0,0
153,set_000__step_00007700,set_000__step_00007650,1,2,0
154,set_000__step_00007750,set_000__step_00007700,0,3,0
155,set_000__step_00007800,set_000__step_00007750,0,1,0
156,set_000__step_00007850,set_000__step_00007800,0,2,0
157,set_000__step_00007900,set_000__step_00007850,0,1,0
158,set_000__step_00007950,set_000__step_00007900,0,2,0
159,set_000__step_00008000,set_000__step_00007950,0,1,0
160,set_000__step_00008050,set_000__step_00008000,0,0,0
161,set_000__step_00008100,set_000__step_00008050,0,3,0
162,set_000__step_00008150,set_000__step_00008100,0,1,0
163,set_000__step_00008200,set_000__step_00008150,0,2,0
164,set_000__step_00008250,set_000__step_00008200,0,2,0
165,set_000__step_00008300,set_000__step_00008250,0,1,0
166,set_000__step_00008350,set_000__step_00008300,0,4,0
167,set_000__step_00008400,set_000__step_00008350,0,4,0
168,set_000__step_00008450,set_000__step_00008400,0,1,0
169,set_000__step_00008500,set_000__step_00008450,0,2,0
170,set_000__step_00008550,set_000__step_00008500,0,0,0
171,set_000__step_00008600,set_000__step_00008550,0,0,0
172,set_000__step_00008650,set_000__step_00008600,0,1,0
173,set_000__step_00008700,set_000__step_00008650,0,1,0
174,set_000__step_00008750,set_000__step_00008700,0,1,0
175,set_000__step_00008800,set_000__step_00008750,0,1,0
176,set_000__step_00008850,set_000__step_00008800,0,6,0
177,set_000__step_00008900,set_000__step_00008850,0,1,0
178,set_000__step_00008950,set_000__step_00008900,0,4,0
179,set_000__step_00009000,set_000__step_00008950,0,2,0
180,set_000__step_00009050,set_000__step_00009000,0,0,0
181,set_000__step_00009100,set_000__step_00009050,0,2,0
182,set_000__step_00009150,set_000__step_00009100,0,3,0
183,set_000__step_00009200,set_000__step_00009150,0,1,0
184,set_000__step_00009250,set_000__step_00009200,0,2,0
185,set_000__step_00009300,set_000__step_00009250,0,2,0
186,set_000__step_00009350,set_000__step_00009300,0,2,0
187,set_000__step_00009400,set_000__step_00009350,0,1,0
188,set_000__step_00009450,set_000__step_00009400,0,2,0
